file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS0019_0012_97259_to_99267,ཨ་ལེ་ལྷོ་ཕྱོགས་ནས། རྒྱ་གར་ལྷོ་ཕྱོགས་ལབ་ཡ་ཞིག་འདུག་ཨ།  ,a le lho phyogs nas/_rgya gar lho phyogs lab ya zhig 'dug a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0019_0012_97259_to_99267.wav,STT_NS,3,54,2.008,wav16k/STT_NS0019_0012_97259_to_99267.wav,ཨ་ལེ་ལྷོ་ཕྱོགས་ནས་ རྒྱ་གར་ལྷོ་ཕྱོགས་ལབ་ཡ་ཅིག་འདུག་བ།
STT_NS0019_0013_103418_to_105696,འུ་འུ་ཡ་ཡ་ཨ་ཅག་ཡ་ཡ་ཡ་ ,'u 'u ya ya a cag ya ya ya _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0019_0013_103418_to_105696.wav,STT_NS,3,22,2.278,wav16k/STT_NS0019_0013_103418_to_105696.wav,འུའོ། ཡ་ཡ་ཡ་ཨ་ཅག་ཡ་ཡ་
STT_NS0019_0014_107130_to_111855,ཨེ་ནས་ཨ་ཅག་དམིགས་བསལ་གྱིས་ག་རེ་ལབ་དགོས་རེད། འུ་འུ་འུ། ད་ལྟ། ཧུ་འུ་ཧུ་འུ་འུ་འུ།  ,e nas a cag dmigs bsal gyis ga re lab dgos red/_'u 'u 'u/_da lta/_hu 'u hu 'u 'u 'u/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0019_0014_107130_to_111855.wav,STT_NS,3,80,4.725,wav16k/STT_NS0019_0014_107130_to_111855.wav,ཨེ་ནས་ཨ་ཅག་དམིགས་བསལ་གྱིས་ག་རེ་ལབ་དགོས་རེད། ཨུ་ད་ལྟ་ཨུ
STT_NS0019_0015_112497_to_119694,ལྷོ་ཕྱོགས་ཁོ་རང་ཐོན་དུས་སྐབས་ག་དུས་ཐོན་ཡིན་དེ་རིང་རང་ཐོན་ཡིན་པས། འུ་འུ་ང་ཚོ་དེ་རིང་རང་ཐོན་ཡིན་ད་རང་ང་ཚོ། ང་ཚོ་ཡིན་ན་ཞོགས་ ,lho phyogs kho rang thon dus skabs ga dus thon yin de ring rang thon yin pas/_'u 'u nga tsho de ring rang thon yin da rang nga tsho/_nga tsho yin na zhogs _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0019_0015_112497_to_119694.wav,STT_NS,3,122,7.197,wav16k/STT_NS0019_0015_112497_to_119694.wav,ལྷོ་ཕྱོགས་ཁོ་རང་ནས་ཐོན་དུས་སྐབས་ག་དུས་ཐོན་ཡིན། ཨ་ཅག་དེ་རིང་རང་ཐོན་ཡིན་པས། ཨུ་། ང་ཚོ་དེ་རིང་རང་ཐོན་ཡིན་འ ད་རང་ང་ཚོ་ང་ཚོ་ཡིན་ན་ཞོགས་
STT_NS0019_0050_400671_to_409581,ད་བདེ་བོ་འདུག་བ་ང་ཚོ་འེ་གཟུགས་པོ་དམིགས་བསལ་གྱི་དཀའ་ངལ་མེད་པ་དེ་འདྲེས་རེད་རེད་ད་ལམ་ལམ་བརྒྱུད་ནས་དེ་འདྲེས་འགྲོ་བ་ཡིན་ན་ང་ཚོ་གཟུགས་པོ་ལ་དཀའ་ངལ་འཕྲད་ཡ་དང་ཨེ་ནས་འཕྲོད་བསྟེན་ཏག་ཏག་མ་སླེབས་བ་དང་།  ,da bde bo 'dug ba nga tsho 'e gzugs po dmigs bsal gyi dka' ngal med pa de 'dres red red da lam lam brgyud nas de 'dres 'gro ba yin na nga tsho gzugs po la dka' ngal 'phrad ya dang e nas 'phrod bsten tag tag ma slebs ba dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0019_0050_400671_to_409581.wav,STT_NS,3,190,8.91,wav16k/STT_NS0019_0050_400671_to_409581.wav,ད་བདེ་བོ་འདུག་བ་ང་ཚོ་གཟུགས་པོ་ལ་དམིགས་བསལ་གྱི་དཀའ་ངལ་མེད་བ་དེ་འདྲ། རེད་རེད། ད་ལམ་ལམ་བརྒྱུད་ནས་དེ་འདྲའི་འགྲོ་བ་ཡིན་ན་ང་ཚོ་གཟུགས་པོ་ལ་དཀའ་ངལ་འཕྲད་ཡ་དང་ཨེ་ནས་འཕྲོད་བསྟེན་ཏག་ཏག་མ་སླེབས་ཡ་དང་
STT_NS0019_0040_316279_to_325971,ལས་ཀ་འདྲ་བོ་ད་མེད་བསྡད་ནས་ད་ང་ལ་དམིགས་བསལ་ཀིས་དངུལ་ཅིག་སྤྲོད་རོགས་གྱིས་ངས་ག་རེ་བྱས་ནས་ལབ་དུས་ཁོ་རང་གིས་དམིགས་བསལ་ཀིས་ཁོ་རང་གི་མི་ཚེའི་ནང་ལ་ཉམས་མྱོང་དང་ཚོར་བ་དེ་ཚོ་བཤད་སོང་ཨ། ཁོ་རང་འདྲ་བོ་ཡིན་ན་ནང་།  ,las ka 'dra bo da med bsdad nas da nga la dmigs bsal kis dngul cig sprod rogs gyis ngas ga re byas nas lab dus kho rang gis dmigs bsal kis kho rang gi mi tshe'i nang la nyams myong dang tshor ba de tsho bshad song a/_kho rang 'dra bo yin na nang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0019_0040_316279_to_325971.wav,STT_NS,3,199,9.692,wav16k/STT_NS0019_0040_316279_to_325971.wav,ལས་ཀ་འདྲ་བོ་ད་མེད་ ད་ང་ལ་དམིགས་བསལ་ི་དངུལ་ཅིག་སྤྲད་རོགས་བྱས། ང་ག་རེ་འདྲ་བོ་ཅིག་ཡིན་ན།ཁོ་རང་གི་དམིགས་བསལ་གྱི་ཁོ་རང་གི་མི་ཚེ་ནང་ལ་ཉམས་མྱོང་དང་ཚོར་བ་དེ་ཚོ་བཤད་སོང་བ། ཨ་ལེ། ཁོ་རང་འདྲ་བོ་ཡིན་ནང་
STT_NS0019_0041_325971_to_335663,མི་ཚང་གི་ནང་ལ་བུ་གུ་ཞེ་དྲག་མེད་པ་བྱས་ཨེ་ནས་དམིགས་བསལ་གྱིས་དཀའ་ངལ་འདྲ་བོ་འཕྲད་དེ་འདྲས་འདྲ་བོ་བྱས་དུས་དེ་ལ་གནམ་ཐང་ལ་ལས་ཀ་འདྲ་བོ་རག་དེ་འདྲ་འདྲ་བོ་བྱས་ནས་ཨེ་ནས་ཁོ་རང་གི་ད་གནམ།  ,mi tshang gi nang la bu gu zhe drag med pa byas e nas dmigs bsal gyis dka' ngal 'dra bo 'phrad de 'dras 'dra bo byas dus de la gnam thang la las ka 'dra bo rag de 'dra 'dra bo byas nas e nas kho rang gi da gnam/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0019_0041_325971_to_335663.wav,STT_NS,3,173,9.692,wav16k/STT_NS0019_0041_325971_to_335663.wav,མ་ཐང་གི་ནང་ལ་བུ་གུ་ཞེ་དྲག་མེད་པ་བྱས། ཨེ་ནས་དམིགས་བསལ་གྱི་དཀའ་ངལ་འདྲ་བོ་འཕྲད་ དེ་འདྲའི་འདྲ་བོ་བྱེད་དུས་དེ་ལ་གནམ་ཐང་ལ་ལས་ཀ་འདྲ་བོ་རག་དེ་འདྲའི་འདྲ་བོ་བྱེད་དུས་ཨེ་ནས་ཁོ་རང་གིས་ད་གནམ་
STT_NS0019_0042_335663_to_345355,གནམ་ཐང་གི་ལས་ཀ་འདྲ་བོ་བྱས་དེ་ནས་དངུལ་འདྲ་བོ་བསགས་ནས་ཨེ་ནས་ཁོ་རང་ནང་མི་ལ་བཏང་གི་ཡོད་དེ་འདྲས་འདྲ་བོ་བྱས་ནས་ཨེ་ནས་ང་ད་ལས་ཀ་ཡོད་མ་རེད་དམིགས་བསལ་ཀིས་ཞེ་བོ་ཞེ་བོ་སྤྲོད་ཡ་ཡོད་མ་རེད་ཡིན་ནས་ད་ངའི་གིས།  ,gnam thang gi las ka 'dra bo byas de nas dngul 'dra bo bsags nas e nas kho rang nang mi la btang gi yod de 'dras 'dra bo byas nas e nas nga da las ka yod ma red dmigs bsal kis zhe bo zhe bo sprod ya yod ma red yin nas da nga'i gis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0019_0042_335663_to_345355.wav,STT_NS,3,193,9.692,wav16k/STT_NS0019_0042_335663_to_345355.wav,རང་གི་ལས་ཀ་འདྲ་བོ་བྱས་དེ་འདྲའ་དངུལ་འདྲ་བོ་བསགས་ནས་ཨེ་ནས་ཁོ་རང་ནང་མི་བཏང་གི དེ་འདྲའི་འདྲ་བོ་བྱས་ས། ཨེ་ནས་ང་དངལས་ཀ་ཡོད་མ་རེད། དམིགས་བསལ་གྱི་ཞེ་བོ་ཞེ་བ་སྤྲད་ཡ་ཡོད་མ་རེད། ཡིན་ན་བས་ད་ངས་ཀིས་
STT_NS0019_0051_410222_to_415614,ད་གཅིག་གི་ཆ་ནས་ད་ཡ་མོ་ཊ་དེ་ཚོ་འཕྲོ་བརླག་འགྲོ་དེ་འདྲེས་འདྲ་བོ་བྱེད་ན་ཉེན་ཁ་ཆེན་པོ་འདུག་བ་རེད་རེད་འོ་དེ་འདྲིའི་སོང་ཙང་།  ,da gcig gi cha nas da ya mo Ta de tsho 'phro brlag 'gro de 'dres 'dra bo byed na nyen kha chen po 'dug ba red red 'o de 'dri'i song tsang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0019_0051_410222_to_415614.wav,STT_NS,3,119,5.392,wav16k/STT_NS0019_0051_410222_to_415614.wav,ད་གཅིག་གི་ཆ་ནས་ད་ཡང་མོ་ཊ་དེ་ཚོ་འཕྲོ་བརླག་འགྲོ་དེ་འདྲའི་འདྲ་བོ་བྱས་ན་ཡང་ཉེན་ཁ་ཆེན་པོ་འདུག་བ། རེད་རེད་། འོ་དདེ་འདྲའ་སོང་ཙང་ང
STT_NS0019_0043_345405_to_349000,དངུལ་ཆུང་ཆུང་ཞིག་སྟེར་ཡིན་པ། དངུལ་ཕྲན་བུ་ཞིག ,dngul chung chung zhig ster yin pa/_dngul phran bu zhig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0019_0043_345405_to_349000.wav,STT_NS,3,45,3.595,wav16k/STT_NS0019_0043_345405_to_349000.wav,ཨ་དངུལ་ཆུང་ཆུང་ཞིག་ལྟས་ཡིན་པ། དངུལ་ཕྲན་བུ་ཞིག
